                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0366,                0.63006,                 1.0662,                0.84359,                0.75734,                0.85115,                0.59193,                 1.1066,                0.70237,                 1.1495,             0.00039356,             0.00039356,             0.00039356
                     36,                  1.034,                0.61635,                 1.0682,                0.84011,                0.75679,                0.84806,                0.58908,                 1.1108,                0.71303,                 1.1496,             0.00038413,             0.00038413,             0.00038413
                     37,                 1.0474,                0.63812,                  1.069,                0.84475,                0.75906,                0.84986,                0.59144,                 1.1071,                0.69947,                 1.1353,             0.00037471,             0.00037471,             0.00037471
                     38,                 1.0352,                0.62222,                 1.0658,                0.84545,                 0.7603,                0.85119,                0.59285,                 1.1075,                0.69963,                 1.1425,             0.00036528,             0.00036528,             0.00036528
                     39,                 1.0322,                0.61684,                 1.0628,                0.84628,                0.75744,                0.85147,                0.59299,                  1.107,                0.69733,                  1.132,             0.00035586,             0.00035586,             0.00035586
                     40,                 1.0309,                0.61609,                 1.0622,                0.84668,                0.76028,                0.85219,                0.59348,                 1.1057,                0.69337,                 1.1374,             0.00034643,             0.00034643,             0.00034643
                     41,                 1.0219,                0.60538,                 1.0614,                0.85064,                0.75589,                0.85221,                0.59422,                 1.1006,                 0.6944,                 1.1347,             0.00033701,             0.00033701,             0.00033701
                     42,                 1.0255,                0.61442,                  1.061,                 0.8466,                0.76164,                0.85183,                0.59342,                 1.1035,                0.69526,                 1.1432,             0.00032758,             0.00032758,             0.00032758
                     43,                 1.0199,                0.60652,                 1.0568,                0.85019,                0.75548,                0.85125,                0.59402,                 1.1015,                0.69449,                  1.137,             0.00031816,             0.00031816,             0.00031816
                     44,                 1.0174,                0.60544,                 1.0556,                0.84559,                 0.7582,                0.85092,                 0.5938,                 1.0996,                0.69598,                  1.128,             0.00030873,             0.00030873,             0.00030873
                     45,                 1.0279,                0.60053,                  1.052,                0.84878,                0.75966,                0.85238,                0.59395,                  1.098,                0.69069,                 1.1167,             0.00029931,             0.00029931,             0.00029931
                     46,                 1.0189,                0.60003,                 1.0535,                0.84529,                0.76088,                0.85186,                0.59502,                 1.0965,                0.68968,                 1.1313,             0.00028988,             0.00028988,             0.00028988
                     47,                 1.0068,                0.59281,                 1.0478,                0.84677,                0.76326,                0.85235,                0.59389,                 1.1008,                0.69098,                 1.1349,             0.00028046,             0.00028046,             0.00028046
                     48,                0.99516,                0.57876,                 1.0439,                0.84239,                0.76092,                0.85045,                 0.5936,                 1.1008,                0.69441,                 1.1375,             0.00027103,             0.00027103,             0.00027103
                     49,                 1.0112,                0.59245,                 1.0492,                0.84622,                0.75962,                0.85109,                 0.5948,                 1.0997,                0.69125,                 1.1332,             0.00026161,             0.00026161,             0.00026161
                     50,                 1.0066,                0.58974,                 1.0475,                0.84293,                0.76054,                0.85069,                0.59434,                 1.0982,                0.69093,                 1.1349,             0.00025218,             0.00025218,             0.00025218
                     51,                 1.0002,                0.58075,                 1.0421,                0.84331,                0.76056,                0.85024,                 0.5932,                 1.1015,                0.69186,                 1.1299,             0.00024276,             0.00024276,             0.00024276
                     52,                 1.0059,                0.58541,                 1.0468,                0.84627,                0.76107,                0.85127,                0.59424,                 1.1016,                0.69123,                 1.1334,             0.00023334,             0.00023334,             0.00023334
                     53,                0.99034,                0.56888,                 1.0365,                0.84693,                 0.7634,                0.85215,                 0.5957,                 1.1002,                0.68564,                 1.1316,             0.00022391,             0.00022391,             0.00022391
                     54,                0.99972,                0.57844,                 1.0449,                0.84844,                0.76149,                0.85048,                 0.5942,                 1.1018,                0.68723,                  1.135,             0.00021449,             0.00021449,             0.00021449
                     55,                0.98643,                0.56843,                 1.0388,                0.84328,                0.76219,                0.84999,                0.59378,                  1.103,                0.69113,                 1.1374,             0.00020506,             0.00020506,             0.00020506
                     56,                0.99302,                0.57027,                 1.0391,                0.84044,                0.76324,                0.84917,                0.59348,                  1.103,                0.68998,                 1.1326,             0.00019564,             0.00019564,             0.00019564
                     57,                0.97969,                0.55706,                 1.0368,                0.83867,                0.76469,                0.84887,                0.59261,                 1.1028,                0.69448,                 1.1392,             0.00018621,             0.00018621,             0.00018621
                     58,                0.98019,                0.55457,                 1.0381,                0.84505,                0.76266,                0.84888,                0.59352,                 1.1035,                0.69371,                 1.1459,             0.00017679,             0.00017679,             0.00017679
                     59,                0.99226,                0.56553,                 1.0357,                 0.8456,                0.76231,                0.84884,                0.59348,                 1.1033,                0.69325,                  1.136,             0.00016736,             0.00016736,             0.00016736
                     60,                 0.9792,                0.55508,                 1.0324,                0.84102,                 0.7658,                0.84904,                0.59349,                  1.105,                0.69195,                 1.1389,             0.00015794,             0.00015794,             0.00015794
                     61,                0.98378,                0.55834,                 1.0306,                0.84224,                0.76346,                0.84883,                0.59257,                 1.1063,                 0.6928,                 1.1374,             0.00014851,             0.00014851,             0.00014851
                     62,                0.97633,                0.55478,                  1.032,                 0.8438,                0.76178,                0.84807,                0.59331,                 1.1062,                0.69367,                 1.1379,             0.00013909,             0.00013909,             0.00013909
                     63,                0.97208,                0.54718,                   1.03,                 0.8449,                0.75938,                0.84728,                0.59244,                 1.1062,                0.69517,                 1.1415,             0.00012966,             0.00012966,             0.00012966
                     64,                0.95774,                0.53106,                 1.0228,                0.84449,                0.76026,                0.84708,                0.59264,                 1.1077,                0.69478,                 1.1429,             0.00012024,             0.00012024,             0.00012024
                     65,                0.96772,                0.54351,                 1.0266,                0.83961,                0.76389,                0.84707,                0.59223,                 1.1087,                 0.6952,                 1.1446,             0.00011081,             0.00011081,             0.00011081
                     66,                  0.959,                0.52953,                 1.0346,                0.83926,                0.76432,                0.84617,                0.59079,                 1.1107,                0.69743,                 1.1497,             0.00010139,             0.00010139,             0.00010139
                     67,                0.95877,                0.52345,                 1.0293,                0.84089,                0.76228,                0.84561,                 0.5901,                 1.1123,                 0.6989,                 1.1466,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     68,                0.94982,                0.51617,                 1.0224,                0.84074,                  0.763,                0.84487,                0.59008,                 1.1113,                0.69967,                 1.1431,             8.2538e-05,             8.2538e-05,             8.2538e-05
                     69,                0.95116,                0.51541,                 1.0233,                   0.84,                0.76322,                0.84488,                0.58975,                 1.1107,                0.70062,                 1.1438,             7.3114e-05,             7.3114e-05,             7.3114e-05
                     70,                0.94016,                 0.5054,                 1.0187,                0.84088,                 0.7622,                0.84443,                0.58914,                 1.1129,                0.70126,                 1.1454,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     71,                0.93314,                0.49837,                 1.0168,                0.84008,                0.76204,                0.84351,                0.58823,                 1.1148,                0.70377,                 1.1482,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     72,                0.92905,                 0.5025,                 1.0201,                0.83856,                0.76354,                0.84281,                0.58778,                 1.1159,                0.70392,                 1.1546,             4.4839e-05,             4.4839e-05,             4.4839e-05
                     73,                 0.9267,                0.49909,                 1.0197,                0.83917,                0.76197,                0.84223,                0.58694,                 1.1171,                 0.7066,                 1.1575,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     74,                0.92966,                0.49852,                  1.019,                 0.8399,                0.76123,                 0.8423,                0.58719,                 1.1174,                0.70771,                 1.1576,              2.599e-05,              2.599e-05,              2.599e-05
                     75,                0.93048,                0.49558,                 1.0195,                0.83932,                0.76088,                0.84242,                0.58712,                 1.1176,                0.70851,                 1.1575,             1.6565e-05,             1.6565e-05,             1.6565e-05
