Epoch,Train Loss,Val Precision,Val Recall,Val F1-score
1,0.6919,0.3138,0.8256,0.4117
2,0.555,0.3206,0.8108,0.4186
3,0.5022,0.4122,0.8452,0.5119
4,0.4627,0.3972,0.8606,0.4975
5,0.4299,0.4175,0.8328,0.5173
6,0.4022,0.4533,0.8468,0.5514
7,0.379,0.4733,0.8429,0.5696
8,0.3562,0.474,0.8335,0.5703
9,0.3392,0.4408,0.8229,0.5359
10,0.3211,0.5063,0.8239,0.5968
11,0.3056,0.5495,0.8231,0.6332
12,0.2942,0.5053,0.7781,0.5889
13,0.2806,0.5266,0.7983,0.612
14,0.27,0.5519,0.799,0.6304
15,0.2587,0.5171,0.7761,0.5987
16,0.2499,0.5937,0.809,0.6646
17,0.2418,0.5756,0.7835,0.6449
18,0.2316,0.6168,0.7998,0.6791
19,0.2246,0.6122,0.7956,0.6738
20,0.2188,0.5539,0.7718,0.6249
21,0.21,0.5901,0.7914,0.657
22,0.2035,0.629,0.794,0.6842
23,0.1989,0.6126,0.79,0.673
24,0.1925,0.6246,0.7949,0.6825
25,0.1884,0.6412,0.7865,0.6917
26,0.1821,0.6281,0.7638,0.6753
27,0.176,0.6571,0.7845,0.7017
28,0.1718,0.6675,0.783,0.7066
29,0.1691,0.6503,0.7773,0.6944
30,0.1653,0.6279,0.7635,0.6748
31,0.1613,0.6771,0.7622,0.7057
32,0.1581,0.6642,0.7813,0.7049
33,0.1546,0.6606,0.7803,0.7024
34,0.1501,0.6824,0.7622,0.7088
35,0.147,0.6684,0.7548,0.6973
36,0.1438,0.7012,0.7708,0.7225
37,0.142,0.7088,0.7808,0.7314
38,0.14,0.6697,0.7719,0.7046
39,0.137,0.6571,0.7686,0.6948
40,0.1338,0.6931,0.7582,0.7131
41,0.131,0.7191,0.7942,0.7426
42,0.1288,0.6839,0.7856,0.7172
43,0.127,0.7302,0.7735,0.7401
44,0.1242,0.7152,0.7816,0.7355
45,0.1236,0.7172,0.7777,0.7347
46,0.1208,0.7265,0.7781,0.7403
47,0.1187,0.6843,0.7606,0.7085
48,0.119,0.7042,0.7652,0.7221
49,0.1149,0.7155,0.7619,0.7269
50,0.1134,0.7161,0.7668,0.7293
51,0.1114,0.726,0.7819,0.7418
52,0.1101,0.716,0.7701,0.7308
53,0.1085,0.7117,0.7575,0.7228
54,0.1084,0.7065,0.7547,0.7195
55,0.1068,0.7282,0.7772,0.7413
56,0.1044,0.7416,0.7764,0.7479
57,0.1035,0.7469,0.7777,0.7522
58,0.1027,0.7152,0.772,0.7312
59,0.1017,0.7464,0.7459,0.7357
60,0.1,0.7484,0.7748,0.751
61,0.0986,0.739,0.7836,0.75
62,0.0978,0.739,0.7542,0.7372
63,0.0967,0.7481,0.7716,0.7499
64,0.0953,0.7443,0.7765,0.7496
65,0.0941,0.7413,0.7753,0.7469
66,0.094,0.7441,0.7762,0.7493
67,0.0911,0.7496,0.7667,0.7482
68,0.09,0.7275,0.7597,0.7326
69,0.091,0.7047,0.7421,0.7121
70,0.0901,0.727,0.7793,0.7413
71,0.0882,0.7622,0.7701,0.7552
72,0.0879,0.7669,0.7641,0.7549
73,0.0859,0.7111,0.74,0.7139
74,0.0858,0.769,0.7685,0.7583
75,0.0842,0.7401,0.7551,0.7375
76,0.0844,0.759,0.7736,0.7561
77,0.0833,0.7462,0.7571,0.7419
78,0.082,0.7485,0.7643,0.7463
79,0.0829,0.7363,0.7645,0.7401
80,0.083,0.754,0.7622,0.7472
81,0.0812,0.7509,0.771,0.7506
82,0.0811,0.7743,0.7681,0.7616
83,0.0789,0.7613,0.7716,0.756
84,0.0793,0.7031,0.7574,0.7184
85,0.0771,0.7502,0.7532,0.7416
86,0.0772,0.7608,0.7713,0.7563
87,0.0768,0.7262,0.7542,0.7299
88,0.0768,0.7372,0.7467,0.7313
89,0.0753,0.7615,0.7702,0.7549
90,0.0753,0.7746,0.7698,0.7619
91,0.074,0.7591,0.7668,0.7526
92,0.073,0.7484,0.7453,0.7371
93,0.0729,0.7745,0.7702,0.7624
94,0.0726,0.7468,0.7431,0.7345
95,0.0723,0.7809,0.7608,0.7605
96,0.0722,0.7738,0.7653,0.7594
97,0.0715,0.723,0.733,0.7161
98,0.0709,0.754,0.7506,0.7421
99,0.0706,0.7673,0.7613,0.7536
100,0.0696,0.7646,0.7659,0.7551
101,0.0696,0.729,0.7456,0.7264
102,0.0692,0.7244,0.7421,0.7225
103,0.0688,0.7968,0.7547,0.7643
104,0.0669,0.7836,0.7694,0.767
105,0.0665,0.7695,0.7655,0.757
106,0.0673,0.7937,0.764,0.768
107,0.0667,0.7943,0.7633,0.7682
108,0.0658,0.785,0.7617,0.7631
109,0.0662,0.7593,0.7631,0.7511
110,0.0657,0.7715,0.7568,0.7544
111,0.0668,0.7753,0.7614,0.758
112,0.0659,0.73,0.7337,0.7215
113,0.0633,0.7585,0.7466,0.7423
114,0.0621,0.7528,0.7503,0.7416
115,0.0618,0.7593,0.7473,0.7432
116,0.0634,0.7512,0.7469,0.7389
117,0.0627,0.7788,0.7664,0.7624
118,0.0627,0.7784,0.7678,0.7632
119,0.062,0.7784,0.7625,0.7608
120,0.062,0.7528,0.7363,0.7339
121,0.0614,0.7721,0.77,0.7608
122,0.0602,0.7806,0.7357,0.7466
123,0.0598,0.7764,0.7512,0.7535
124,0.0604,0.7513,0.7397,0.7355
125,0.0594,0.7505,0.759,0.7438
126,0.0593,0.7691,0.767,0.7579
127,0.0608,0.7855,0.7704,0.7672
128,0.0596,0.7864,0.7553,0.7609
129,0.0584,0.7833,0.7579,0.7596
130,0.0589,0.7773,0.7657,0.761
131,0.0584,0.7579,0.7344,0.7353
132,0.0574,0.7942,0.756,0.7644
133,0.057,0.7835,0.7732,0.7686
134,0.0592,0.799,0.7552,0.7657
135,0.0566,0.7816,0.7632,0.7619
136,0.0557,0.7979,0.7545,0.7643
137,0.0557,0.7965,0.7657,0.7707
138,0.0562,0.7691,0.7333,0.7397
139,0.0553,0.7922,0.7563,0.7635
140,0.0551,0.7696,0.7376,0.7427
141,0.055,0.8041,0.7608,0.7712
142,0.0556,0.7532,0.7365,0.7342
143,0.0549,0.7768,0.7647,0.7602
144,0.0548,0.7941,0.7568,0.7654
145,0.0543,0.7822,0.741,0.7501
146,0.0548,0.7864,0.7487,0.7567
147,0.0538,0.8047,0.7534,0.7674
148,0.0534,0.7824,0.7237,0.7408
149,0.0528,0.7821,0.757,0.7595
150,0.0522,0.8071,0.7525,0.7684
