Epoch,Train Loss,Val Precision,Val Recall,Val F1-score
147,0.0623,0.6985,0.7008,0.6873
148,0.0607,0.7247,0.6942,0.6967
149,0.0597,0.7178,0.6945,0.6934
150,0.0604,0.7385,0.6911,0.7019
151,0.0609,0.7307,0.6862,0.6955
152,0.0602,0.7413,0.6743,0.6938
153,0.059,0.7265,0.6999,0.7008
154,0.0589,0.7207,0.6953,0.6951
155,0.0585,0.7408,0.6951,0.7042
156,0.0588,0.7398,0.6994,0.7057
157,0.0591,0.7203,0.7022,0.6986
158,0.0582,0.7017,0.6928,0.6849
159,0.0577,0.723,0.6835,0.6905
160,0.0584,0.7243,0.6892,0.6946
161,0.0572,0.7357,0.6849,0.6969
162,0.0567,0.7128,0.6956,0.692
163,0.0568,0.714,0.7018,0.6951
164,0.0564,0.7311,0.6953,0.7003
165,0.0558,0.7238,0.6995,0.6993
166,0.0553,0.7513,0.6926,0.7085
167,0.056,0.7249,0.6999,0.6998
168,0.0565,0.7326,0.6955,0.701
169,0.055,0.725,0.6775,0.6885
170,0.0551,0.7338,0.6935,0.7003
171,0.0562,0.7357,0.6843,0.6959
172,0.0535,0.7283,0.6929,0.6979
173,0.054,0.7389,0.6945,0.7039
174,0.0535,0.7406,0.6865,0.6993
175,0.0541,0.7425,0.6947,0.7045
176,0.0535,0.7334,0.675,0.6909
177,0.0532,0.7414,0.6886,0.702
178,0.0534,0.7307,0.6904,0.6973
179,0.0532,0.7326,0.6789,0.6926
180,0.0536,0.7322,0.6845,0.6947
181,0.0546,0.7226,0.6828,0.6906
182,0.0514,0.7199,0.6839,0.6894
183,0.052,0.7194,0.6768,0.6858
184,0.0548,0.7327,0.6792,0.692
185,0.052,0.7214,0.678,0.687
186,0.052,0.7167,0.6877,0.6894
187,0.052,0.7645,0.6776,0.7051
188,0.0523,0.7362,0.6944,0.7023
189,0.0485,0.7084,0.6775,0.6805
190,0.0457,0.7481,0.6892,0.7046
191,0.0455,0.7412,0.6843,0.6997
192,0.0441,0.7353,0.6823,0.6961
193,0.0433,0.759,0.6881,0.7089
194,0.0432,0.7478,0.6866,0.7035
195,0.0428,0.7309,0.6904,0.698
196,0.0429,0.7278,0.6852,0.6931
197,0.0428,0.736,0.6735,0.6902
198,0.0427,0.7319,0.6732,0.6886
199,0.0424,0.7463,0.6834,0.7004
200,0.042,0.733,0.6716,0.6878
