                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0616,                0.64528,                 1.0775,                0.83996,                0.75816,                0.84824,                 0.5869,                 1.1161,                0.71186,                 1.1366,                0.00769,                0.00769,                0.00769
                     37,                 1.0737,                0.66431,                 1.0807,                0.84042,                0.75672,                0.84924,                0.58779,                 1.1158,                0.70549,                 1.1376,               0.007624,               0.007624,               0.007624
                     38,                 1.0653,                 0.6524,                 1.0782,                0.84537,                0.75142,                0.84821,                  0.587,                 1.1167,                0.71602,                 1.1433,               0.007558,               0.007558,               0.007558
                     39,                 1.0618,                0.65038,                 1.0758,                 0.8338,                0.75947,                0.84847,                0.58838,                 1.1163,                0.71014,                 1.1466,               0.007492,               0.007492,               0.007492
                     40,                 1.0617,                0.64893,                  1.076,                 0.8392,                 0.7589,                 0.8499,                0.58959,                 1.1123,                0.70839,                 1.1417,               0.007426,               0.007426,               0.007426
                     41,                 1.0545,                0.63748,                  1.072,                0.84409,                0.75496,                 0.8502,                0.59039,                 1.1074,                0.70414,                 1.1339,                0.00736,                0.00736,                0.00736
                     42,                 1.0582,                0.64744,                 1.0748,                0.84465,                0.75596,                 0.8499,                  0.589,                 1.1137,                0.70468,                 1.1346,               0.007294,               0.007294,               0.007294
                     43,                  1.052,                0.63629,                 1.0648,                 0.8404,                 0.7588,                0.85107,                0.59203,                 1.1047,                0.69873,                   1.13,               0.007228,               0.007228,               0.007228
                     44,                 1.0508,                0.63838,                 1.0629,                0.84354,                0.75784,                0.85041,                0.59106,                  1.104,                0.70351,                 1.1229,               0.007162,               0.007162,               0.007162
                     45,                 1.0584,                0.63782,                 1.0678,                0.84712,                0.75589,                0.85055,                0.59195,                 1.1008,                0.70221,                 1.1263,               0.007096,               0.007096,               0.007096
                     46,                 1.0525,                 0.6361,                 1.0634,                0.84603,                0.75963,                0.85202,                0.59373,                 1.1008,                0.69789,                 1.1248,                0.00703,                0.00703,                0.00703
                     47,                 1.0427,                0.62973,                 1.0614,                0.84485,                 0.7606,                0.85205,                0.59205,                 1.1106,                0.69709,                 1.1264,               0.006964,               0.006964,               0.006964
